Date,topic_coherence,topic_coherence_diff,recon_ratio
14/10/2013,0.852073669,0.859937847,0.008104352
15/10/2013,0.736857796,0.941708565,0.004267104
16/10/2013,0.746387196,0.948135734,0.005883382
17/10/2013,0.777171326,0.904159248,0.005539154
18/10/2013,0.772828484,0.817049205,0.003856874
21/10/2013,0.879571915,0.877623856,0.007420331
22/10/2013,0.719526291,0.914463639,0.003360213
23/10/2013,0.744347477,0.868227601,0.006435067
24/10/2013,0.722274017,0.869681656,0.007317646
25/10/2013,0.79273138,0.851704776,0.005077874
28/10/2013,0.844195175,0.868837714,0.010140903
29/10/2013,0.754173374,0.923118591,0.004985311
30/10/2013,0.748765564,0.86223495,0.008077267
31/10/2013,0.680217981,0.890476406,0.007809278
01/11/2013,0.693118095,0.815919697,0.003801553
04/11/2013,0.670632935,0.814795136,0.00660259
05/11/2013,0.706452751,0.840997338,0.002480642
06/11/2013,0.702292252,0.830569088,0.005803316
07/11/2013,0.770749855,0.804885089,0.002902337
08/11/2013,0.651198578,0.899177194,0.006572333
11/11/2013,0.702447033,0.856651604,0.006973499
12/11/2013,0.82133255,0.837133288,0.004252447
13/11/2013,0.65378933,0.905339062,0.007525554
14/11/2013,0.769219017,0.831023991,0.006233517
15/11/2013,0.7560606,0.892802894,0.006970955
18/11/2013,0.832826233,0.844227612,0.007503293
19/11/2013,0.714748478,0.882903576,0.003982263
20/11/2013,0.681199074,0.819421411,0.005514846
21/11/2013,0.734276676,0.875094771,0.007724849
22/11/2013,0.744478035,0.882649124,0.005441012
25/11/2013,0.764976215,0.878943145,0.007045807
26/11/2013,0.756773758,0.928101838,0.004515303
27/11/2013,0.74480691,0.880443394,0.008736115
02/12/2013,0.778611565,0.869695544,0.008487891
03/12/2013,0.834945297,0.894824386,-2.02E-05
04/12/2013,0.698447609,0.908621967,0.006947837
05/12/2013,0.677183628,0.855378747,0.006483548
06/12/2013,0.71649437,0.848588169,0.00278114
09/12/2013,0.790519619,0.89515686,0.008847134
10/12/2013,0.728216934,0.907958388,0.004520609
11/12/2013,0.72020359,0.859330475,0.004977924
12/12/2013,0.751192474,0.85451448,0.004374393
13/12/2013,0.726126194,0.88780582,0.006961068
16/12/2013,0.787617064,0.84090054,0.00856143
17/12/2013,0.787150764,0.85136348,0.002523525
18/12/2013,0.759950113,0.87398088,0.006473729
19/12/2013,0.717172909,0.863096237,0.00762866
20/12/2013,0.655547428,0.84444654,0.005003562
23/12/2013,0.759051228,0.827262998,0.007622554
26/12/2013,0.810254002,0.892755508,0.005674147
27/12/2013,0.828037643,0.854792595,0.00590032
30/12/2013,0.726683044,0.908826053,0.013640369
31/12/2013,0.486037827,0.847654223,0.005998282
02/01/2014,0.760121632,0.743405402,0.014155365
03/01/2014,0.830877113,0.881601334,0.007952194
06/01/2014,0.909971046,0.931292415,0.010239721
07/01/2014,0.755417204,0.944948375,0.005047738
08/01/2014,0.784640884,0.876283824,0.006275763
09/01/2014,0.737133026,0.872923255,0.006591043
10/01/2014,0.760470295,0.880111873,0.006769434
13/01/2014,0.779035568,0.852322102,0.007888763
14/01/2014,0.725543642,0.88091737,0.003367864
15/01/2014,0.810998726,0.830470085,0.006353392
16/01/2014,0.8176054,0.914484799,0.007065999
17/01/2014,0.836547661,0.907767415,0.006728663
21/01/2014,0.757133818,0.915912628,0.009376866
22/01/2014,0.652992439,0.921097934,0.003252502
23/01/2014,0.693188858,0.798025489,0.007307326
24/01/2014,0.742222214,0.839089751,0.006803548
27/01/2014,0.850575066,0.880288303,0.008659929
28/01/2014,0.72742691,0.915303886,0.004383264
29/01/2014,0.755117512,0.869342148,0.006296457
30/01/2014,0.740621853,0.839321494,0.004983792
31/01/2014,0.671006346,0.861231208,0.005442252
03/02/2014,0.754986954,0.819977939,0.006965274
04/02/2014,0.757366371,0.848902702,0.003946466
05/02/2014,0.780227089,0.869940102,0.00757667
06/02/2014,0.743714857,0.889849186,0.00583153
07/02/2014,0.744702339,0.902401805,0.006218636
10/02/2014,0.772512817,0.8498891,0.008955201
11/02/2014,0.791646957,0.88048315,0.003938907
12/02/2014,0.751785851,0.934363186,0.008134149
13/02/2014,0.685031891,0.90530175,0.005783874
14/02/2014,0.719201088,0.851369262,0.007563278
18/02/2014,0.8545578,0.866454422,0.008104807
19/02/2014,0.682586098,0.905687988,0.002044208
20/02/2014,0.674200583,0.887620151,0.005449053
21/02/2014,0.772533751,0.872339129,0.007845623
24/02/2014,0.753554726,0.900322139,0.009490663
